qa_id,question_asker_intent_understanding,question_body_critical,question_conversational,question_expect_short_answer,question_fact_seeking,question_has_commonly_accepted_answer,question_interestingness_others,question_interestingness_self,question_multi_intent,question_not_really_a_question,question_opinion_seeking,question_type_choice,question_type_compare,question_type_consequence,question_type_definition,question_type_entity,question_type_instructions,question_type_procedure,question_type_reason_explanation,question_type_spelling,question_well_written,answer_helpful,answer_level_of_information,answer_plausible,answer_relevance,answer_satisfaction,answer_type_instructions,answer_type_procedure,answer_type_reason_explanation,answer_well_written
39,0.9733333333333334,0.7333333333333333,0.16000000000000003,0.5511111111111111,0.7066666666666667,0.6933333333333334,0.7333333333333333,0.6666666666666666,0.5066666666666667,0.00327618198,0.6533333333333333,0.6533333333333333,0.08000000000000002,0.16000000000000003,0.08000000000000002,0.08000000000000002,0.16000000000000003,0.08000000000000002,0.49333333333333335,0.000535219252,0.9466666666666665,0.9466666666666665,0.6266666666666667,0.9733333333333334,0.9733333333333334,0.8533333333333333,0.16000000000000003,0.08000000000000002,0.7511111111111112,0.9466666666666665
46,0.8666666666666666,0.52,0.08000000000000002,0.7688888888888887,0.8266666666666669,0.9466666666666665,0.6266666666666667,0.48,0.21333333333333335,0.0040851004199999996,0.4355555555555556,0.52,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.9266666666666665,0.21333333333333335,0.08000000000000002,0.000290010472,0.6666666666666666,0.9733333333333334,0.6266666666666667,0.9733333333333334,1.0,0.8666666666666666,0.9466666666666665,0.16000000000000003,0.08000000000000002,0.8955555555555555
70,0.9133333333333334,0.7333333333333333,0.08000000000000002,0.8400000000000001,0.9466666666666665,0.9733333333333334,0.6533333333333333,0.48,0.16000000000000003,0.0030580839,0.21333333333333335,0.7066666666666667,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.16000000000000003,0.16000000000000003,0.5066666666666667,0.0007147452159999999,0.9133333333333334,0.9733333333333334,0.6533333333333333,1.0,1.0,0.9,0.16000000000000003,0.08000000000000002,0.8533333333333333,0.9266666666666665
132,0.9133333333333334,0.5333333333333333,0.08000000000000002,0.72,0.8266666666666669,0.9266666666666665,0.5822222222222222,0.4666666666666667,0.16000000000000003,0.009113652699999999,0.49333333333333335,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.9133333333333334,0.21333333333333335,0.3733333333333334,0.00020336287479999997,0.8133333333333335,0.9733333333333334,0.6933333333333334,1.0,1.0,0.9133333333333334,0.9266666666666665,0.16000000000000003,0.4355555555555556,0.8955555555555555
200,0.9466666666666665,0.5066666666666667,0.08000000000000002,0.7822222222222223,0.8133333333333335,0.9133333333333334,0.6933333333333334,0.6533333333333333,0.21333333333333335,0.01294756964,0.4355555555555556,0.5644444444444445,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.26666666666666666,0.16000000000000003,0.48,0.00099592572,0.7511111111111112,0.9266666666666665,0.6266666666666667,0.9733333333333334,0.9733333333333334,0.8666666666666666,0.21333333333333335,0.16000000000000003,0.5066666666666667,0.9266666666666665
245,0.9466666666666665,0.8755555555555554,0.08000000000000002,0.6,0.9466666666666665,0.9266666666666665,0.6533333333333333,0.49333333333333335,0.16000000000000003,0.00244444262,0.16000000000000003,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.28,0.7688888888888887,0.00036117251999999997,0.9466666666666665,1.0,0.6799999999999999,1.0,1.0,0.9466666666666665,0.08000000000000002,0.16000000000000003,0.8133333333333335,0.9133333333333334
257,0.8911111111111112,0.5422222222222222,0.08000000000000002,0.7822222222222223,0.7911111111111111,0.9466666666666665,0.5422222222222222,0.4177777777777778,0.08000000000000002,0.00560915498,0.4577777777777778,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.9466666666666665,0.21333333333333335,0.08000000000000002,0.00017330477119999998,0.7911111111111111,0.9733333333333334,0.6666666666666666,1.0,1.0,0.9266666666666665,0.8844444444444444,0.16000000000000003,0.4,0.9466666666666665
267,0.9733333333333334,0.7066666666666667,0.16000000000000003,0.8400000000000001,0.8266666666666669,0.8755555555555554,0.72,0.7066666666666667,0.16000000000000003,0.0031988639,0.4355555555555556,0.16000000000000003,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.8844444444444444,0.001236591788,0.9133333333333334,0.9466666666666665,0.6933333333333334,0.9733333333333334,1.0,0.8755555555555554,0.08000000000000002,0.08000000000000002,0.9733333333333334,0.9466666666666665
284,0.8844444444444444,0.48,0.08000000000000002,0.72,0.8133333333333335,0.9133333333333334,0.5644444444444445,0.4355555555555556,0.4,0.0025314957399999996,0.4666666666666667,0.6,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.9133333333333334,0.26666666666666666,0.16000000000000003,0.000425213412,0.7822222222222223,0.9733333333333334,0.6799999999999999,0.9733333333333334,1.0,0.8911111111111112,0.8955555555555555,0.16000000000000003,0.24000000000000002,0.9133333333333334
292,0.9733333333333334,0.7333333333333333,0.08000000000000002,0.8,0.9133333333333334,0.9466666666666665,0.72,0.6266666666666667,0.16000000000000003,0.00456862992,0.21333333333333335,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.4355555555555556,0.16000000000000003,0.6266666666666667,0.00031075925400000004,0.9133333333333334,0.9733333333333334,0.6533333333333333,1.0,1.0,0.8911111111111112,0.48,0.08000000000000002,0.8400000000000001,0.9466666666666665
296,0.8911111111111112,0.5511111111111111,0.08000000000000002,0.8133333333333335,0.7822222222222223,0.9266666666666665,0.5511111111111111,0.4177777777777778,0.08000000000000002,0.00575411264,0.4666666666666667,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.9733333333333334,0.16000000000000003,0.08000000000000002,0.00020713042400000002,0.7688888888888887,0.9733333333333334,0.6933333333333334,1.0,1.0,0.9,0.9733333333333334,0.16000000000000003,0.08000000000000002,0.9133333333333334
312,0.9466666666666665,0.8533333333333333,0.08000000000000002,0.8666666666666666,0.9466666666666665,0.9733333333333334,0.6799999999999999,0.49333333333333335,0.16000000000000003,0.00286757652,0.16000000000000003,0.5066666666666667,0.08000000000000002,0.6266666666666667,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.26666666666666666,0.00053063729,0.9466666666666665,0.9733333333333334,0.6266666666666667,1.0,1.0,0.9466666666666665,0.08000000000000002,0.08000000000000002,0.8133333333333335,0.9266666666666665
322,0.8844444444444444,0.5422222222222222,0.08000000000000002,0.6533333333333333,0.8266666666666669,0.8844444444444444,0.5644444444444445,0.4355555555555556,0.4177777777777778,0.0023656543919999998,0.5066666666666667,0.5333333333333333,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.9266666666666665,0.3333333333333333,0.16000000000000003,0.00038937630399999996,0.8266666666666669,0.9733333333333334,0.6533333333333333,0.9733333333333334,1.0,0.8911111111111112,0.9733333333333334,0.16000000000000003,0.08000000000000002,0.9
327,0.8911111111111112,0.6,0.08000000000000002,0.8844444444444444,0.9466666666666665,1.0,0.6533333333333333,0.49333333333333335,0.16000000000000003,0.0049909097400000005,0.16000000000000003,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.21333333333333335,0.6933333333333334,0.21333333333333335,0.21333333333333335,0.000393137194,0.72,0.9733333333333334,0.7066666666666667,1.0,1.0,0.9266666666666665,0.8400000000000001,0.08000000000000002,0.16000000000000003,0.9133333333333334
334,0.8133333333333335,0.6533333333333333,0.08000000000000002,0.8,0.9466666666666665,0.9466666666666665,0.5822222222222222,0.4,0.30666666666666664,0.00222415088,0.21333333333333335,0.8533333333333333,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.4,0.21333333333333335,0.21333333333333335,0.0010549115540000001,0.8666666666666666,0.9266666666666665,0.6666666666666666,0.9466666666666665,0.9733333333333334,0.8666666666666666,0.6266666666666667,0.16000000000000003,0.29333333333333333,0.8755555555555554
340,0.7688888888888887,0.4355555555555556,0.08000000000000002,0.5822222222222222,0.8666666666666666,0.8266666666666669,0.52,0.4,0.4,0.0061026651599999995,0.48,0.4,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.7333333333333333,0.29333333333333333,0.26666666666666666,0.0006664423839999999,0.8,0.9466666666666665,0.6266666666666667,0.9733333333333334,1.0,0.8755555555555554,0.8755555555555554,0.16000000000000003,0.30666666666666664,0.9133333333333334
357,0.7688888888888887,0.48,0.08000000000000002,0.6666666666666666,0.9466666666666665,0.9733333333333334,0.5644444444444445,0.4,0.30666666666666664,0.0039897738599999994,0.16000000000000003,0.6933333333333334,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.3733333333333334,0.21333333333333335,0.6,0.000939938918,0.8133333333333335,0.9733333333333334,0.6933333333333334,0.9733333333333334,1.0,0.8955555555555555,0.16000000000000003,0.16000000000000003,0.9133333333333334,0.9266666666666665
374,0.9,0.6,0.08000000000000002,0.9133333333333334,0.8666666666666666,0.9733333333333334,0.6533333333333333,0.5066666666666667,0.16000000000000003,0.0023323986799999997,0.26666666666666666,0.8400000000000001,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.7911111111111111,0.21333333333333335,0.08000000000000002,0.000564141542,0.8,1.0,0.7066666666666667,1.0,1.0,0.9266666666666665,0.9133333333333334,0.08000000000000002,0.16000000000000003,0.9466666666666665
375,0.9733333333333334,0.7911111111111111,0.08000000000000002,0.6533333333333333,0.9733333333333334,0.8266666666666669,0.7066666666666667,0.7511111111111112,0.44888888888888884,0.001360744974,0.21333333333333335,0.21333333333333335,0.08000000000000002,0.08000000000000002,0.3333333333333333,0.21333333333333335,0.08000000000000002,0.08000000000000002,0.4666666666666667,0.00441092528,0.9466666666666665,0.9466666666666665,0.7066666666666667,0.9733333333333334,0.9733333333333334,0.8666666666666666,0.08000000000000002,0.08000000000000002,0.6266666666666667,0.9466666666666665
